  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  17.750   1.4420   0.09177   0.08772  -0.0374   0.0063   1.0000
  18.000   1.4292   0.09740   0.09346  -0.0392   0.0063   1.0000
  18.250   1.4169   0.10307   0.09923  -0.0411   0.0062   1.0000
  18.500   1.4039   0.10892   0.10519  -0.0433   0.0061   1.0000
  18.750   1.3917   0.11469   0.11106  -0.0455   0.0061   1.0000
  19.000   1.3789   0.12054   0.11702  -0.0478   0.0060   1.0000
  19.250   1.3678   0.12620   0.12276  -0.0501   0.0059   1.0000
  19.500   1.3569   0.13191   0.12857  -0.0526   0.0059   1.0000
  19.750   1.3463   0.13769   0.13444  -0.0552   0.0058   1.0000
  20.000   1.3379   0.14307   0.13990  -0.0578   0.0057   1.0000
